x;y;z;Label;adl;feature_1;feature_2;feature_3
20;51;35;1;brush_teeth;23.0;50.0;36.0
19;50;36;1;brush_teeth;23.0;50.0;36.0
19;50;36;1;brush_teeth;23.0;50.0;36.0
20;50;35;1;brush_teeth;23.0;50.0;36.0
21;50;35;1;brush_teeth;23.0;50.0;36.0
21;50;36;1;brush_teeth;23.0;50.0;36.0
24;50;37;1;brush_teeth;23.0;50.0;36.0
24;51;36;1;brush_teeth;23.0;50.0;36.0
26;52;38;1;brush_teeth;23.0;50.0;36.0
25;52;37;1;brush_teeth;23.0;50.0;36.0
27;51;37;1;brush_teeth;23.0;50.0;36.0
26;51;36;1;brush_teeth;23.0;50.0;36.0
26;51;36;1;brush_teeth;23.0;50.0;36.0
23;51;35;1;brush_teeth;24.0;50.0;36.0
23;51;36;1;brush_teeth;24.0;50.0;36.0
22;51;35;1;brush_teeth;24.0;50.0;36.0
22;52;35;1;brush_teeth;24.0;50.0;36.0
22;50;35;1;brush_teeth;24.0;50.0;36.0
20;50;35;1;brush_teeth;24.0;50.0;36.0
21;49;36;1;brush_teeth;24.0;50.0;36.0
20;50;36;1;brush_teeth;24.0;50.0;36.0
20;50;35;1;brush_teeth;24.0;50.0;36.0
21;50;36;1;brush_teeth;24.0;50.0;36.0
22;48;36;1;brush_teeth;24.0;50.0;36.0
21;51;35;1;brush_teeth;24.0;50.0;36.0
18;52;36;1;brush_teeth;24.0;50.0;36.0
18;48;37;1;brush_teeth;24.0;50.0;36.0
19;50;36;1;brush_teeth;24.0;50.0;36.0
22;50;36;1;brush_teeth;24.0;50.0;36.0
24;50;36;1;brush_teeth;24.0;50.0;36.0
24;51;35;1;brush_teeth;24.0;50.0;36.0
25;52;35;1;brush_teeth;24.0;50.0;36.0
23;52;36;1;brush_teeth;24.0;50.0;36.0
24;51;36;1;brush_teeth;24.0;50.0;36.0
24;51;36;1;brush_teeth;24.0;50.0;36.0
25;52;36;1;brush_teeth;24.0;50.0;36.0
25;52;36;1;brush_teeth;24.0;50.0;36.0
23;52;36;1;brush_teeth;24.0;50.0;36.0
24;52;36;1;brush_teeth;24.0;50.0;36.0
24;51;35;1;brush_teeth;24.0;50.0;36.0
25;52;34;1;brush_teeth;24.0;50.0;36.0
24;53;34;1;brush_teeth;24.0;50.0;36.0
24;51;34;1;brush_teeth;24.0;50.0;36.0
23;52;33;1;brush_teeth;24.0;50.0;36.0
23;52;32;1;brush_teeth;24.0;50.0;36.0
25;53;32;1;brush_teeth;24.0;51.0;36.0
24;50;31;1;brush_teeth;24.0;51.0;36.0
26;50;32;1;brush_teeth;25.0;51.0;36.0
25;51;30;1;brush_teeth;25.0;51.0;36.0
25;52;30;1;brush_teeth;25.0;51.0;36.0
26;51;32;1;brush_teeth;25.0;51.0;36.0
26;51;31;1;brush_teeth;25.0;51.0;36.0
26;52;31;1;brush_teeth;25.0;51.0;36.0
27;51;30;1;brush_teeth;25.0;51.0;36.0
26;52;29;1;brush_teeth;25.0;51.0;36.0
25;51;30;1;brush_teeth;25.0;51.0;36.0
24;52;29;1;brush_teeth;25.0;51.0;36.0
25;51;29;1;brush_teeth;25.0;51.0;36.0
25;50;31;1;brush_teeth;25.0;51.0;36.0
25;50;29;1;brush_teeth;25.0;51.0;36.0
25;52;30;1;brush_teeth;25.0;51.0;36.0
26;51;31;1;brush_teeth;25.0;51.0;36.0
26;49;31;1;brush_teeth;25.0;51.0;36.0
27;50;32;1;brush_teeth;25.0;51.0;35.0
26;51;31;1;brush_teeth;25.0;51.0;35.0
25;51;32;1;brush_teeth;25.0;51.0;35.0
23;52;32;1;brush_teeth;25.0;51.0;35.0
21;53;33;1;brush_teeth;25.0;51.0;35.0
21;52;32;1;brush_teeth;25.0;51.0;35.0
22;53;31;1;brush_teeth;25.0;51.0;35.0
21;53;31;1;brush_teeth;25.0;51.0;35.0
21;52;31;1;brush_teeth;26.0;51.0;35.0
19;52;29;1;brush_teeth;26.0;51.0;35.0
17;52;31;1;brush_teeth;26.0;51.0;35.0
17;52;29;1;brush_teeth;26.0;51.0;35.0
16;50;31;1;brush_teeth;26.0;51.0;35.0
18;50;30;1;brush_teeth;26.0;51.0;35.0
21;51;32;1;brush_teeth;26.0;51.0;35.0
22;54;33;1;brush_teeth;26.0;51.0;35.0
24;53;34;1;brush_teeth;26.0;51.0;35.0
25;52;36;1;brush_teeth;26.0;51.0;35.0
26;53;36;1;brush_teeth;26.0;51.0;35.0
26;55;36;1;brush_teeth;26.0;51.0;35.0
27;49;38;1;brush_teeth;26.0;51.0;35.0
27;50;35;1;brush_teeth;26.0;51.0;35.0
28;51;37;1;brush_teeth;26.0;51.0;35.0
26;51;34;1;brush_teeth;26.0;51.0;35.0
25;51;34;1;brush_teeth;26.0;51.0;35.0
27;52;33;1;brush_teeth;26.0;51.0;35.0
27;54;33;1;brush_teeth;26.0;51.0;35.0
27;55;32;1;brush_teeth;26.0;51.0;35.0
30;54;36;1;brush_teeth;26.0;51.0;35.0
30;46;34;1;brush_teeth;26.0;51.0;35.0
29;44;30;1;brush_teeth;26.0;51.0;35.0
33;33;36;1;brush_teeth;26.0;51.0;35.0
33;44;37;1;brush_teeth;26.0;51.0;35.0
33;53;32;1;brush_teeth;27.0;51.0;35.0
26;63;25;1;brush_teeth;27.0;51.0;35.0
23;62;22;1;brush_teeth;27.0;51.0;35.0
30;40;28;1;brush_teeth;27.0;51.0;35.0
25;31;36;1;brush_teeth;27.0;51.0;35.0
29;53;41;1;brush_teeth;27.0;51.0;35.0
32;61;30;1;brush_teeth;27.0;51.0;35.0
32;63;21;1;brush_teeth;27.0;51.0;35.0
25;54;25;1;brush_teeth;27.0;51.0;35.0
27;34;31;1;brush_teeth;27.0;51.0;35.0
28;53;41;1;brush_teeth;27.0;51.0;35.0
33;53;35;1;brush_teeth;27.0;51.0;35.0
29;63;25;1;brush_teeth;27.0;51.0;35.0
29;57;20;1;brush_teeth;27.0;51.0;35.0
31;38;25;1;brush_teeth;27.0;51.0;35.0
27;29;39;1;brush_teeth;27.0;51.0;35.0
30;47;42;1;brush_teeth;27.0;51.0;35.0
27;63;28;1;brush_teeth;27.0;51.0;34.0
28;63;20;1;brush_teeth;27.0;51.0;34.0
26;49;26;1;brush_teeth;27.0;51.0;34.0
29;40;34;1;brush_teeth;27.0;51.0;34.0
28;28;44;1;brush_teeth;27.0;51.0;34.0
29;46;43;1;brush_teeth;27.0;51.0;34.0
28;63;24;1;brush_teeth;27.0;51.0;34.0
33;62;22;1;brush_teeth;27.0;51.0;34.0
29;41;29;1;brush_teeth;27.0;51.0;34.0
30;28;39;1;brush_teeth;27.0;51.0;34.0
25;49;44;1;brush_teeth;27.0;51.0;34.0
26;62;36;1;brush_teeth;27.0;51.0;34.0
28;63;24;1;brush_teeth;28.0;51.0;34.0
31;55;23;1;brush_teeth;28.0;51.0;34.0
31;34;30;1;brush_teeth;28.0;51.0;34.0
29;23;43;1;brush_teeth;28.0;51.0;34.0
28;49;44;1;brush_teeth;28.0;51.0;34.0
27;63;34;1;brush_teeth;28.0;51.0;34.0
31;63;24;1;brush_teeth;28.0;51.0;34.0
30;54;27;1;brush_teeth;28.0;51.0;34.0
30;45;36;1;brush_teeth;28.0;51.0;34.0
27;22;43;1;brush_teeth;28.0;51.0;34.0
29;45;43;1;brush_teeth;28.0;51.0;34.0
31;59;31;1;brush_teeth;28.0;51.0;34.0
30;63;23;1;brush_teeth;28.0;51.0;34.0
32;54;22;1;brush_teeth;28.0;51.0;34.0
30;44;35;1;brush_teeth;28.0;51.0;34.0
29;29;44;1;brush_teeth;28.0;51.0;34.0
27;47;42;1;brush_teeth;28.0;51.0;33.0
29;63;25;1;brush_teeth;28.0;51.0;33.0
36;63;23;1;brush_teeth;28.0;51.0;33.0
27;48;36;1;brush_teeth;28.0;51.0;33.0
30;35;40;1;brush_teeth;28.0;51.0;33.0
26;44;44;1;brush_teeth;28.0;51.0;33.0
26;63;28;1;brush_teeth;28.0;51.0;33.0
36;63;23;1;brush_teeth;28.0;51.0;33.0
37;43;29;1;brush_teeth;28.0;51.0;33.0
33;33;40;1;brush_teeth;29.0;51.0;33.0
27;49;43;1;brush_teeth;29.0;51.0;33.0
31;50;42;1;brush_teeth;29.0;51.0;33.0
32;63;22;1;brush_teeth;29.0;51.0;33.0
36;61;22;1;brush_teeth;29.0;51.0;33.0
33;35;32;1;brush_teeth;29.0;51.0;33.0
32;28;43;1;brush_teeth;29.0;51.0;33.0
28;50;43;1;brush_teeth;29.0;51.0;33.0
31;63;25;1;brush_teeth;29.0;51.0;33.0
38;62;23;1;brush_teeth;29.0;51.0;33.0
33;35;35;1;brush_teeth;29.0;51.0;33.0
34;24;41;1;brush_teeth;29.0;51.0;33.0
29;52;44;1;brush_teeth;29.0;51.0;33.0
31;63;25;1;brush_teeth;29.0;51.0;33.0
39;62;25;1;brush_teeth;29.0;51.0;33.0
34;48;32;1;brush_teeth;29.0;51.0;33.0
29;27;41;1;brush_teeth;29.0;51.0;33.0
27;57;46;1;brush_teeth;29.0;51.0;33.0
29;63;32;1;brush_teeth;29.0;52.0;33.0
36;63;28;1;brush_teeth;29.0;52.0;32.0
38;50;29;1;brush_teeth;29.0;52.0;32.0
33;25;36;1;brush_teeth;29.0;52.0;32.0
27;52;41;1;brush_teeth;29.0;52.0;32.0
28;63;28;1;brush_teeth;29.0;52.0;32.0
37;63;27;1;brush_teeth;29.0;52.0;32.0
35;54;31;1;brush_teeth;29.0;52.0;32.0
33;31;37;1;brush_teeth;29.0;52.0;32.0
28;53;41;1;brush_teeth;29.0;52.0;32.0
28;58;32;1;brush_teeth;29.0;52.0;32.0
33;63;23;1;brush_teeth;29.0;52.0;32.0
35;56;25;1;brush_teeth;29.0;52.0;32.0
26;37;35;1;brush_teeth;29.0;52.0;32.0
28;38;45;1;brush_teeth;29.0;52.0;32.0
29;45;43;1;brush_teeth;29.0;52.0;32.0
34;63;24;1;brush_teeth;29.0;52.0;32.0
38;63;19;1;brush_teeth;29.0;52.0;32.0
33;45;31;1;brush_teeth;29.0;52.0;32.0
30;27;42;1;brush_teeth;29.0;52.0;32.0
26;46;37;1;brush_teeth;29.0;52.0;32.0
29;63;26;1;brush_teeth;29.0;52.0;32.0
35;62;24;1;brush_teeth;29.0;52.0;32.0
35;51;34;1;brush_teeth;29.0;52.0;32.0
33;40;42;1;brush_teeth;29.0;52.0;32.0
31;51;44;1;brush_teeth;29.0;52.0;32.0
29;63;30;1;brush_teeth;29.0;52.0;32.0
33;63;24;1;brush_teeth;29.0;52.0;32.0
32;49;29;1;brush_teeth;29.0;52.0;32.0
27;31;37;1;brush_teeth;29.0;52.0;32.0
27;56;42;1;brush_teeth;29.0;52.0;33.0
29;61;31;1;brush_teeth;29.0;52.0;33.0
38;63;20;1;brush_teeth;29.0;52.0;33.0
36;46;23;1;brush_teeth;30.0;52.0;33.0
31;27;34;1;brush_teeth;30.0;52.0;33.0
26;49;44;1;brush_teeth;30.0;52.0;33.0
30;56;41;1;brush_teeth;30.0;52.0;33.0
33;63;23;1;brush_teeth;30.0;52.0;33.0
38;59;25;1;brush_teeth;30.0;52.0;33.0
32;40;33;1;brush_teeth;30.0;52.0;33.0
30;27;41;1;brush_teeth;30.0;52.0;33.0
30;51;42;1;brush_teeth;30.0;52.0;33.0
30;63;28;1;brush_teeth;30.0;52.0;33.0
35;63;25;1;brush_teeth;30.0;52.0;33.0
37;50;24;1;brush_teeth;30.0;52.0;33.0
31;33;35;1;brush_teeth;30.0;52.0;33.0
28;36;40;1;brush_teeth;30.0;52.0;33.0
32;49;41;1;brush_teeth;30.0;52.0;33.0
31;63;28;1;brush_teeth;30.0;52.0;33.0
37;63;28;1;brush_teeth;30.0;52.0;33.0
32;48;32;1;brush_teeth;30.0;52.0;34.0
29;29;39;1;brush_teeth;30.0;52.0;34.0
27;54;41;1;brush_teeth;30.0;52.0;34.0
28;62;32;1;brush_teeth;30.0;52.0;34.0
34;63;25;1;brush_teeth;30.0;52.0;34.0
36;55;29;1;brush_teeth;30.0;52.0;34.0
27;34;36;1;brush_teeth;30.0;52.0;34.0
29;43;38;1;brush_teeth;30.0;52.0;34.0
30;52;40;1;brush_teeth;30.0;52.0;34.0
31;63;31;1;brush_teeth;30.0;52.0;34.0
34;62;26;1;brush_teeth;30.0;52.0;34.0
28;44;29;1;brush_teeth;30.0;52.0;34.0
31;32;38;1;brush_teeth;30.0;52.0;34.0
30;50;39;1;brush_teeth;30.0;52.0;34.0
31;58;32;1;brush_teeth;30.0;52.0;34.0
31;63;25;1;brush_teeth;30.0;52.0;34.0
31;59;29;1;brush_teeth;30.0;52.0;34.0
28;47;32;1;brush_teeth;30.0;52.0;34.0
30;20;38;1;brush_teeth;30.0;52.0;34.0
27;51;44;1;brush_teeth;30.0;52.0;34.0
26;61;33;1;brush_teeth;30.0;52.0;34.0
28;63;26;1;brush_teeth;30.0;52.0;34.0
34;60;24;1;brush_teeth;30.0;52.0;34.0
29;42;34;1;brush_teeth;30.0;52.0;34.0
30;19;40;1;brush_teeth;30.0;52.0;34.0
27;56;43;1;brush_teeth;30.0;52.0;34.0
25;63;29;1;brush_teeth;30.0;52.0;34.0
32;63;22;1;brush_teeth;30.0;52.0;34.0
33;58;23;1;brush_teeth;30.0;52.0;34.0
34;42;30;1;brush_teeth;30.0;52.0;34.0
31;20;41;1;brush_teeth;30.0;52.0;34.0
27;53;45;1;brush_teeth;30.0;52.0;34.0
28;63;29;1;brush_teeth;30.0;52.0;35.0
34;63;21;1;brush_teeth;30.0;52.0;35.0
34;47;24;1;brush_teeth;30.0;52.0;35.0
33;39;33;1;brush_teeth;30.0;52.0;35.0
30;31;41;1;brush_teeth;30.0;52.0;35.0
29;51;41;1;brush_teeth;30.0;52.0;35.0
30;63;27;1;brush_teeth;30.0;52.0;35.0
38;62;25;1;brush_teeth;30.0;52.0;35.0
33;44;29;1;brush_teeth;30.0;52.0;35.0
32;29;33;1;brush_teeth;30.0;52.0;35.0
28;51;37;1;brush_teeth;30.0;51.0;35.0
29;53;35;1;brush_teeth;30.0;52.0;35.0
28;63;25;1;brush_teeth;30.0;52.0;35.0
33;59;26;1;brush_teeth;30.0;52.0;35.0
27;42;33;1;brush_teeth;30.0;52.0;35.0
29;29;37;1;brush_teeth;30.0;51.0;35.0
27;51;41;1;brush_teeth;30.0;51.0;35.0
27;63;33;1;brush_teeth;30.0;51.0;35.0
32;63;25;1;brush_teeth;30.0;52.0;35.0
33;53;23;1;brush_teeth;30.0;52.0;35.0
32;40;24;1;brush_teeth;30.0;52.0;35.0
35;35;36;1;brush_teeth;30.0;52.0;36.0
28;45;44;1;brush_teeth;30.0;52.0;36.0
26;59;34;1;brush_teeth;30.0;52.0;36.0
32;63;21;1;brush_teeth;30.0;52.0;36.0
39;56;22;1;brush_teeth;30.0;51.0;36.0
31;37;33;1;brush_teeth;30.0;51.0;36.0
30;30;38;1;brush_teeth;30.0;51.0;36.0
27;46;39;1;brush_teeth;30.0;51.0;36.0
31;63;22;1;brush_teeth;30.0;51.0;36.0
40;62;20;1;brush_teeth;30.0;51.0;36.0
33;41;27;1;brush_teeth;30.0;51.0;36.0
31;29;36;1;brush_teeth;30.0;51.0;36.0
26;47;41;1;brush_teeth;30.0;51.0;36.0
27;63;27;1;brush_teeth;30.0;51.0;36.0
39;63;20;1;brush_teeth;30.0;51.0;36.0
36;50;27;1;brush_teeth;30.0;51.0;36.0
31;36;35;1;brush_teeth;30.0;51.0;36.0
29;49;43;1;brush_teeth;31.0;51.0;36.0
28;60;33;1;brush_teeth;30.0;51.0;36.0
35;63;22;1;brush_teeth;30.0;51.0;37.0
36;56;21;1;brush_teeth;30.0;51.0;37.0
30;40;33;1;brush_teeth;30.0;51.0;37.0
31;28;41;1;brush_teeth;30.0;51.0;37.0
31;47;40;1;brush_teeth;30.0;51.0;37.0
32;63;24;1;brush_teeth;31.0;51.0;37.0
41;62;19;1;brush_teeth;31.0;51.0;37.0
33;42;27;1;brush_teeth;31.0;51.0;37.0
31;33;41;1;brush_teeth;31.0;51.0;37.0
29;51;40;1;brush_teeth;31.0;51.0;37.0
32;63;28;1;brush_teeth;31.0;51.0;37.0
37;63;21;1;brush_teeth;30.0;51.0;37.0
37;49;29;1;brush_teeth;31.0;51.0;37.0
32;34;38;1;brush_teeth;31.0;51.0;37.0
30;54;42;1;brush_teeth;31.0;51.0;37.0
29;62;31;1;brush_teeth;30.0;51.0;37.0
34;63;21;1;brush_teeth;30.0;51.0;37.0
35;50;25;1;brush_teeth;30.0;51.0;37.0
32;31;34;1;brush_teeth;30.0;51.0;37.0
26;52;42;1;brush_teeth;30.0;51.0;37.0
30;62;33;1;brush_teeth;30.0;51.0;37.0
36;63;22;1;brush_teeth;30.0;51.0;37.0
33;52;26;1;brush_teeth;30.0;51.0;37.0
28;30;36;1;brush_teeth;30.0;51.0;37.0
23;52;41;1;brush_teeth;30.0;51.0;37.0
22;63;38;1;brush_teeth;30.0;51.0;37.0
28;59;30;1;brush_teeth;30.0;51.0;37.0
20;63;34;1;brush_teeth;30.0;51.0;37.0
34;61;35;1;brush_teeth;30.0;51.0;37.0
35;61;28;1;brush_teeth;30.0;51.0;37.0
31;56;28;1;brush_teeth;30.0;51.0;37.0
26;45;30;1;brush_teeth;30.0;51.0;37.0
23;41;33;1;brush_teeth;30.0;51.0;37.0
13;27;38;1;brush_teeth;30.0;51.0;37.0
20;48;34;1;brush_teeth;30.0;51.0;37.0
20;53;37;1;brush_teeth;30.0;51.0;37.0
34;55;40;1;brush_teeth;30.0;51.0;37.0
52;60;38;1;brush_teeth;30.0;51.0;37.0
48;61;40;1;brush_teeth;30.0;51.0;37.0
41;50;36;1;brush_teeth;30.0;51.0;37.0
24;52;38;1;brush_teeth;30.0;51.0;37.0
5;45;43;1;brush_teeth;30.0;51.0;37.0
7;45;41;1;brush_teeth;30.0;51.0;37.0
22;51;37;1;brush_teeth;30.0;51.0;37.0
37;54;39;1;brush_teeth;30.0;51.0;37.0
57;62;31;1;brush_teeth;30.0;51.0;37.0
46;51;42;1;brush_teeth;30.0;51.0;37.0
27;53;42;1;brush_teeth;30.0;51.0;37.0
13;46;37;1;brush_teeth;30.0;51.0;37.0
6;46;35;1;brush_teeth;30.0;51.0;37.0
14;56;40;1;brush_teeth;30.0;51.0;37.0
23;50;48;1;brush_teeth;30.0;51.0;37.0
47;59;38;1;brush_teeth;30.0;51.0;37.0
53;62;33;1;brush_teeth;30.0;51.0;37.0
38;52;39;1;brush_teeth;30.0;51.0;37.0
18;47;36;1;brush_teeth;30.0;51.0;37.0
3;46;38;1;brush_teeth;30.0;51.0;37.0
9;53;39;1;brush_teeth;30.0;51.0;37.0
22;48;40;1;brush_teeth;30.0;51.0;37.0
39;50;41;1;brush_teeth;30.0;51.0;37.0
54;63;31;1;brush_teeth;30.0;51.0;37.0
45;52;34;1;brush_teeth;30.0;51.0;37.0
31;45;42;1;brush_teeth;30.0;51.0;37.0
6;45;42;1;brush_teeth;30.0;51.0;37.0
3;36;36;1;brush_teeth;30.0;51.0;37.0
13;49;40;1;brush_teeth;30.0;51.0;37.0
32;47;44;1;brush_teeth;30.0;51.0;37.0
52;63;35;1;brush_teeth;30.0;51.0;37.0
52;54;31;1;brush_teeth;30.0;51.0;37.0
37;43;35;1;brush_teeth;30.0;51.0;37.0
13;55;37;1;brush_teeth;30.0;51.0;37.0
0;45;45;1;brush_teeth;30.0;51.0;37.0
11;59;37;1;brush_teeth;30.0;51.0;37.0
26;59;42;1;brush_teeth;30.0;51.0;37.0
43;53;41;1;brush_teeth;30.0;51.0;37.0
52;62;30;1;brush_teeth;30.0;51.0;37.0
41;50;33;1;brush_teeth;30.0;51.0;37.0
26;50;34;1;brush_teeth;30.0;51.0;37.0
6;43;42;1;brush_teeth;29.0;51.0;37.0
4;38;38;1;brush_teeth;29.0;51.0;37.0
17;50;41;1;brush_teeth;29.0;51.0;37.0
30;49;44;1;brush_teeth;29.0;51.0;37.0
45;61;37;1;brush_teeth;29.0;51.0;37.0
48;61;35;1;brush_teeth;29.0;51.0;37.0
49;46;30;1;brush_teeth;29.0;51.0;37.0
26;54;34;1;brush_teeth;29.0;51.0;37.0
3;49;40;1;brush_teeth;29.0;51.0;37.0
3;55;32;1;brush_teeth;29.0;51.0;37.0
