;feature_1;feature_2;feature_3;Label;gravity_1;gravity_2;gravity_3;bodymotion_1;bodymotion_2;bodymotion_3
87;24;50;38;1;23.0;50.0;38.0;-1.0;0.0;0.0
88;22;51;37;1;23.0;50.0;38.0;1.0;-1.0;1.0
89;23;50;40;1;23.0;50.0;38.0;0.0;0.0;-2.0
90;23;50;38;1;23.0;50.0;38.0;0.0;0.0;0.0
91;22;51;38;1;23.0;50.0;38.0;1.0;-1.0;0.0
92;23;50;37;1;23.0;50.0;38.0;0.0;0.0;1.0
93;23;50;39;1;23.0;50.0;38.0;0.0;0.0;-1.0
94;22;50;38;1;22.0;50.0;38.0;0.0;0.0;0.0
95;24;51;37;1;22.0;50.0;37.0;-2.0;-1.0;0.0
96;23;49;37;1;22.0;50.0;37.0;-1.0;1.0;0.0
97;23;50;37;1;22.0;50.0;37.0;-1.0;0.0;0.0
98;22;51;37;1;22.0;50.0;37.0;0.0;-1.0;0.0
99;22;49;37;1;22.0;50.0;37.0;0.0;1.0;0.0
100;23;49;37;1;23.0;50.0;37.0;0.0;1.0;0.0
101;24;49;37;1;23.0;50.0;37.0;-1.0;1.0;0.0
102;22;51;38;1;23.0;50.0;37.0;1.0;-1.0;-1.0
103;23;51;38;1;22.0;50.0;37.0;-1.0;-1.0;-1.0
104;22;51;38;1;22.0;50.0;37.0;0.0;-1.0;-1.0
105;22;49;38;1;22.0;50.0;37.0;0.0;1.0;-1.0
106;20;51;38;1;22.0;50.0;37.0;2.0;-1.0;-1.0
107;20;49;37;1;22.0;50.0;37.0;2.0;1.0;0.0
108;21;50;37;1;22.0;50.0;37.0;1.0;0.0;0.0
109;22;49;38;1;22.0;50.0;37.0;0.0;1.0;-1.0
110;23;49;37;1;22.0;50.0;37.0;-1.0;1.0;0.0
111;24;50;38;1;23.0;50.0;37.0;-1.0;0.0;-1.0
112;24;50;37;1;23.0;50.0;37.0;-1.0;0.0;0.0
113;25;50;38;1;23.0;50.0;37.0;-2.0;0.0;-1.0
114;25;49;37;1;23.0;50.0;37.0;-2.0;1.0;0.0
115;24;51;37;1;23.0;50.0;37.0;-1.0;-1.0;0.0
116;23;50;36;1;23.0;50.0;37.0;0.0;0.0;1.0
117;20;54;34;1;23.0;50.0;37.0;3.0;-4.0;3.0
118;21;50;34;1;23.0;50.0;37.0;2.0;0.0;3.0
119;21;50;35;1;23.0;50.0;37.0;2.0;0.0;2.0
120;22;51;34;1;23.0;50.0;36.0;1.0;-1.0;2.0
121;23;50;35;1;22.0;50.0;36.0;-1.0;0.0;1.0
122;23;49;35;1;22.0;50.0;36.0;-1.0;1.0;1.0
123;22;49;35;1;22.0;50.0;36.0;0.0;1.0;1.0
124;23;50;34;1;22.0;50.0;36.0;-1.0;0.0;2.0
125;20;50;35;1;22.0;50.0;36.0;2.0;0.0;1.0
126;20;50;35;1;22.0;50.0;36.0;2.0;0.0;1.0
127;19;50;36;1;22.0;50.0;36.0;3.0;0.0;0.0
128;19;50;35;1;22.0;50.0;36.0;3.0;0.0;1.0
129;19;51;36;1;22.0;50.0;36.0;3.0;-1.0;0.0
130;21;50;36;1;22.0;50.0;36.0;1.0;0.0;0.0
131;22;51;36;1;22.0;50.0;36.0;0.0;-1.0;0.0
132;25;52;35;1;22.0;50.0;36.0;-3.0;-2.0;1.0
133;25;52;35;1;22.0;50.0;36.0;-3.0;-2.0;1.0
134;26;51;34;1;22.0;50.0;36.0;-4.0;-1.0;2.0
135;25;51;35;1;22.0;50.0;36.0;-3.0;-1.0;1.0
136;23;51;35;1;22.0;50.0;36.0;-1.0;-1.0;1.0
137;21;51;35;1;22.0;50.0;36.0;1.0;-1.0;1.0
138;20;51;35;1;22.0;50.0;36.0;2.0;-1.0;1.0
139;19;50;36;1;22.0;50.0;36.0;3.0;0.0;0.0
140;19;50;36;1;22.0;50.0;36.0;3.0;0.0;0.0
141;20;50;35;1;22.0;50.0;36.0;2.0;0.0;1.0
142;21;50;35;1;22.0;50.0;36.0;1.0;0.0;1.0
143;21;50;36;1;23.0;50.0;36.0;2.0;0.0;0.0
144;24;50;37;1;23.0;51.0;36.0;-1.0;1.0;-1.0
145;24;51;36;1;23.0;51.0;36.0;-1.0;0.0;0.0
146;26;52;38;1;23.0;51.0;36.0;-3.0;-1.0;-2.0
147;25;52;37;1;23.0;51.0;36.0;-2.0;-1.0;-1.0
148;27;51;37;1;23.0;51.0;35.0;-4.0;0.0;-2.0
149;26;51;36;1;23.0;51.0;35.0;-3.0;0.0;-1.0
150;26;51;36;1;23.0;51.0;35.0;-3.0;0.0;-1.0
151;23;51;35;1;23.0;51.0;35.0;0.0;0.0;0.0
152;23;51;36;1;23.0;51.0;35.0;0.0;0.0;-1.0
153;22;51;35;1;23.0;51.0;35.0;1.0;0.0;0.0
154;22;52;35;1;23.0;51.0;35.0;1.0;-1.0;0.0
155;22;50;35;1;23.0;51.0;35.0;1.0;1.0;0.0
156;20;50;35;1;23.0;51.0;35.0;3.0;1.0;0.0
157;21;49;36;1;23.0;51.0;35.0;2.0;2.0;-1.0
158;20;50;36;1;23.0;51.0;35.0;3.0;1.0;-1.0
159;20;50;35;1;23.0;51.0;35.0;3.0;1.0;0.0
160;21;50;36;1;24.0;51.0;35.0;3.0;1.0;-1.0
161;22;48;36;1;24.0;51.0;35.0;2.0;3.0;-1.0
162;21;51;35;1;24.0;51.0;35.0;3.0;0.0;0.0
163;18;52;36;1;24.0;51.0;35.0;6.0;-1.0;-1.0
164;18;48;37;1;24.0;51.0;35.0;6.0;3.0;-2.0
165;19;50;36;1;24.0;51.0;35.0;5.0;1.0;-1.0
166;22;50;36;1;24.0;51.0;35.0;2.0;1.0;-1.0
167;24;50;36;1;24.0;51.0;35.0;0.0;1.0;-1.0
168;24;51;35;1;24.0;51.0;35.0;0.0;0.0;0.0
169;25;52;35;1;24.0;51.0;35.0;-1.0;-1.0;0.0
170;23;52;36;1;24.0;51.0;35.0;1.0;-1.0;-1.0
171;24;51;36;1;24.0;51.0;35.0;0.0;0.0;-1.0
172;24;51;36;1;24.0;51.0;35.0;0.0;0.0;-1.0
173;25;52;36;1;24.0;51.0;35.0;-1.0;-1.0;-1.0
174;25;52;36;1;24.0;51.0;35.0;-1.0;-1.0;-1.0
175;23;52;36;1;24.0;51.0;35.0;1.0;-1.0;-1.0
176;24;52;36;1;24.0;51.0;35.0;0.0;-1.0;-1.0
177;24;51;35;1;24.0;51.0;35.0;0.0;0.0;0.0
178;25;52;34;1;24.0;51.0;34.0;-1.0;-1.0;0.0
179;24;53;34;1;24.0;51.0;34.0;0.0;-2.0;0.0
180;24;51;34;1;24.0;51.0;34.0;0.0;0.0;0.0
181;23;52;33;1;24.0;51.0;33.0;1.0;-1.0;0.0
182;23;52;32;1;24.0;51.0;33.0;1.0;-1.0;1.0
183;25;53;32;1;24.0;51.0;33.0;-1.0;-2.0;1.0
184;24;50;31;1;24.0;51.0;33.0;0.0;1.0;2.0
185;26;50;32;1;24.0;51.0;33.0;-2.0;1.0;1.0
186;25;51;30;1;24.0;51.0;33.0;-1.0;0.0;3.0
187;25;52;30;1;24.0;51.0;33.0;-1.0;-1.0;3.0
188;26;51;32;1;24.0;51.0;33.0;-2.0;0.0;1.0
189;26;51;31;1;24.0;51.0;33.0;-2.0;0.0;2.0
190;26;52;31;1;24.0;51.0;33.0;-2.0;-1.0;2.0
191;27;51;30;1;24.0;51.0;33.0;-3.0;0.0;3.0
192;26;52;29;1;24.0;51.0;33.0;-2.0;-1.0;4.0
193;25;51;30;1;24.0;51.0;33.0;-1.0;0.0;3.0
194;24;52;29;1;24.0;51.0;33.0;0.0;-1.0;4.0
195;25;51;29;1;25.0;51.0;33.0;0.0;0.0;4.0
196;25;50;31;1;25.0;51.0;33.0;0.0;1.0;2.0
197;25;50;29;1;25.0;51.0;33.0;0.0;1.0;4.0
198;25;52;30;1;25.0;51.0;33.0;0.0;-1.0;3.0
199;26;51;31;1;25.0;51.0;32.0;-1.0;0.0;1.0
200;26;49;31;1;25.0;52.0;32.0;-1.0;3.0;1.0
201;27;50;32;1;25.0;52.0;32.0;-2.0;2.0;0.0
202;26;51;31;1;25.0;52.0;32.0;-1.0;1.0;1.0
203;25;51;32;1;25.0;52.0;32.0;0.0;1.0;0.0
204;23;52;32;1;25.0;52.0;32.0;2.0;0.0;0.0
205;21;53;33;1;25.0;52.0;32.0;4.0;-1.0;-1.0
206;21;52;32;1;25.0;52.0;32.0;4.0;0.0;0.0
207;22;53;31;1;25.0;52.0;32.0;3.0;-1.0;1.0
208;21;53;31;1;25.0;52.0;32.0;4.0;-1.0;1.0
209;21;52;31;1;25.0;52.0;32.0;4.0;0.0;1.0
210;19;52;29;1;25.0;52.0;32.0;6.0;0.0;3.0
211;17;52;31;1;25.0;52.0;32.0;8.0;0.0;1.0
212;17;52;29;1;25.0;52.0;32.0;8.0;0.0;3.0
213;16;50;31;1;26.0;52.0;32.0;10.0;2.0;1.0
214;18;50;30;1;26.0;52.0;32.0;8.0;2.0;2.0
215;21;51;32;1;26.0;52.0;32.0;5.0;1.0;0.0
216;22;54;33;1;26.0;52.0;31.0;4.0;-2.0;-2.0
217;24;53;34;1;26.0;52.0;31.0;2.0;-1.0;-3.0
218;25;52;36;1;26.0;52.0;31.0;1.0;0.0;-5.0
219;26;53;36;1;26.0;52.0;31.0;0.0;-1.0;-5.0
220;26;55;36;1;26.0;52.0;31.0;0.0;-3.0;-5.0
221;27;49;38;1;26.0;52.0;31.0;-1.0;3.0;-7.0
222;27;50;35;1;26.0;52.0;31.0;-1.0;2.0;-4.0
223;28;51;37;1;26.0;52.0;31.0;-2.0;1.0;-6.0
224;26;51;34;1;26.0;52.0;31.0;0.0;1.0;-3.0
225;25;51;34;1;26.0;52.0;31.0;1.0;1.0;-3.0
226;27;52;33;1;26.0;52.0;31.0;-1.0;0.0;-2.0
227;27;54;33;1;26.0;52.0;32.0;-1.0;-2.0;-1.0
228;27;55;32;1;26.0;52.0;32.0;-1.0;-3.0;0.0
229;30;54;36;1;27.0;52.0;32.0;-3.0;-2.0;-4.0
230;30;46;34;1;27.0;52.0;32.0;-3.0;6.0;-2.0
231;29;44;30;1;27.0;52.0;32.0;-2.0;8.0;2.0
232;33;33;36;1;27.0;52.0;32.0;-6.0;19.0;-4.0
233;33;44;37;1;27.0;52.0;32.0;-6.0;8.0;-5.0
234;33;53;32;1;27.0;52.0;32.0;-6.0;-1.0;0.0
235;26;63;25;1;27.0;52.0;32.0;1.0;-11.0;7.0
236;23;62;22;1;27.0;52.0;32.0;4.0;-10.0;10.0
237;30;40;28;1;27.0;52.0;32.0;-3.0;12.0;4.0
238;25;31;36;1;27.0;52.0;32.0;2.0;21.0;-4.0
239;29;53;41;1;27.0;52.0;32.0;-2.0;-1.0;-9.0
240;32;61;30;1;28.0;52.0;32.0;-4.0;-9.0;2.0
241;32;63;21;1;28.0;52.0;32.0;-4.0;-11.0;11.0
242;25;54;25;1;28.0;52.0;32.0;3.0;-2.0;7.0
243;27;34;31;1;28.0;52.0;33.0;1.0;18.0;2.0
244;28;53;41;1;28.0;52.0;33.0;0.0;-1.0;-8.0
245;33;53;35;1;28.0;52.0;33.0;-5.0;-1.0;-2.0
246;29;63;25;1;28.0;52.0;33.0;-1.0;-11.0;8.0
247;29;57;20;1;28.0;52.0;33.0;-1.0;-5.0;13.0
248;31;38;25;1;28.0;51.0;34.0;-3.0;13.0;9.0
249;27;29;39;1;28.0;51.0;34.0;1.0;22.0;-5.0
250;30;47;42;1;28.0;52.0;34.0;-2.0;5.0;-8.0
251;27;63;28;1;29.0;52.0;34.0;2.0;-11.0;6.0
252;28;63;20;1;29.0;52.0;34.0;1.0;-11.0;14.0
253;26;49;26;1;29.0;51.0;34.0;3.0;2.0;8.0
254;29;40;34;1;29.0;51.0;34.0;0.0;11.0;0.0
255;28;28;44;1;29.0;51.0;34.0;1.0;23.0;-10.0
256;29;46;43;1;29.0;51.0;34.0;0.0;5.0;-9.0
257;28;63;24;1;29.0;51.0;33.0;1.0;-12.0;9.0
258;33;62;22;1;29.0;51.0;33.0;-4.0;-11.0;11.0
259;29;41;29;1;29.0;51.0;33.0;0.0;10.0;4.0
260;30;28;39;1;29.0;50.0;33.0;-1.0;22.0;-6.0
261;25;49;44;1;29.0;50.0;32.0;4.0;1.0;-12.0
262;26;62;36;1;29.0;50.0;32.0;3.0;-12.0;-4.0
263;28;63;24;1;29.0;50.0;32.0;1.0;-13.0;8.0
264;31;55;23;1;30.0;49.0;32.0;-1.0;-6.0;9.0
265;31;34;30;1;29.0;49.0;32.0;-2.0;15.0;2.0
266;29;23;43;1;29.0;50.0;32.0;0.0;27.0;-11.0
267;28;49;44;1;30.0;50.0;32.0;2.0;1.0;-12.0
268;27;63;34;1;30.0;50.0;32.0;3.0;-13.0;-2.0
269;31;63;24;1;29.0;50.0;32.0;-2.0;-13.0;8.0
270;30;54;27;1;29.0;50.0;32.0;-1.0;-4.0;5.0
271;30;45;36;1;29.0;50.0;32.0;-1.0;5.0;-4.0
272;27;22;43;1;29.0;50.0;32.0;2.0;28.0;-11.0
273;29;45;43;1;29.0;50.0;32.0;0.0;5.0;-11.0
274;31;59;31;1;30.0;50.0;32.0;-1.0;-9.0;1.0
275;30;63;23;1;30.0;50.0;32.0;0.0;-13.0;9.0
276;32;54;22;1;29.0;50.0;32.0;-3.0;-4.0;10.0
277;30;44;35;1;29.0;50.0;32.0;-1.0;6.0;-3.0
278;29;29;44;1;30.0;50.0;32.0;1.0;21.0;-12.0
279;27;47;42;1;30.0;50.0;32.0;3.0;3.0;-10.0
280;29;63;25;1;30.0;50.0;32.0;1.0;-13.0;7.0
281;36;63;23;1;30.0;50.0;32.0;-6.0;-13.0;9.0
282;27;48;36;1;30.0;50.0;32.0;3.0;2.0;-4.0
283;30;35;40;1;30.0;50.0;32.0;0.0;15.0;-8.0
284;26;44;44;1;30.0;50.0;32.0;4.0;6.0;-12.0
285;26;63;28;1;30.0;50.0;32.0;4.0;-13.0;4.0
286;36;63;23;1;30.0;50.0;32.0;-6.0;-13.0;9.0
287;37;43;29;1;30.0;50.0;32.0;-7.0;7.0;3.0
288;33;33;40;1;30.0;50.0;32.0;-3.0;17.0;-8.0
289;27;49;43;1;30.0;50.0;32.0;3.0;1.0;-11.0
290;31;50;42;1;30.0;50.0;32.0;-1.0;0.0;-10.0
291;32;63;22;1;30.0;50.0;32.0;-2.0;-13.0;10.0
292;36;61;22;1;30.0;52.0;32.0;-6.0;-9.0;10.0
293;33;35;32;1;30.0;52.0;32.0;-3.0;17.0;0.0
294;32;28;43;1;30.0;51.0;32.0;-2.0;23.0;-11.0
295;28;50;43;1;30.0;51.0;34.0;2.0;1.0;-9.0
296;31;63;25;1;31.0;51.0;34.0;0.0;-12.0;9.0
297;38;62;23;1;31.0;52.0;32.0;-7.0;-10.0;9.0
298;33;35;35;1;31.0;52.0;32.0;-2.0;17.0;-3.0
299;34;24;41;1;31.0;51.0;32.0;-3.0;27.0;-9.0
300;29;52;44;1;31.0;51.0;32.0;2.0;-1.0;-12.0
301;31;63;25;1;31.0;51.0;34.0;0.0;-12.0;9.0
302;39;62;25;1;31.0;52.0;32.0;-8.0;-10.0;7.0
303;34;48;32;1;31.0;52.0;32.0;-3.0;4.0;0.0
304;29;27;41;1;31.0;52.0;32.0;2.0;25.0;-9.0
305;27;57;46;1;31.0;51.0;32.0;4.0;-6.0;-14.0
306;29;63;32;1;31.0;51.0;32.0;2.0;-12.0;0.0
307;36;63;28;1;31.0;51.0;32.0;-5.0;-12.0;4.0
308;38;50;29;1;31.0;52.0;32.0;-7.0;2.0;3.0
309;33;25;36;1;31.0;52.0;32.0;-2.0;27.0;-4.0
310;27;52;41;1;31.0;52.0;32.0;4.0;0.0;-9.0
311;28;63;28;1;31.0;51.0;32.0;3.0;-12.0;4.0
312;37;63;27;1;31.0;51.0;33.0;-6.0;-12.0;6.0
313;35;54;31;1;31.0;51.0;32.0;-4.0;-3.0;1.0
314;33;31;37;1;31.0;52.0;32.0;-2.0;21.0;-5.0
315;28;53;41;1;32.0;52.0;32.0;4.0;-1.0;-9.0
316;28;58;32;1;32.0;51.0;32.0;4.0;-7.0;0.0
317;33;63;23;1;31.0;51.0;32.0;-2.0;-12.0;9.0
318;35;56;25;1;32.0;51.0;32.0;-3.0;-5.0;7.0
319;26;37;35;1;32.0;51.0;32.0;6.0;14.0;-3.0
320;28;38;45;1;32.0;52.0;32.0;4.0;14.0;-13.0
321;29;45;43;1;32.0;51.0;32.0;3.0;6.0;-11.0
322;34;63;24;1;32.0;51.0;32.0;-2.0;-12.0;8.0
323;38;63;19;1;32.0;51.0;32.0;-6.0;-12.0;13.0
324;33;45;31;1;31.0;52.0;32.0;-2.0;7.0;1.0
325;30;27;42;1;32.0;52.0;32.0;2.0;25.0;-10.0
326;26;46;37;1;32.0;53.0;32.0;6.0;7.0;-5.0
327;29;63;26;1;32.0;52.0;32.0;3.0;-11.0;6.0
328;35;62;24;1;31.0;52.0;32.0;-4.0;-10.0;8.0
329;35;51;34;1;31.0;52.0;32.0;-4.0;1.0;-2.0
330;33;40;42;1;31.0;52.0;32.0;-2.0;12.0;-10.0
331;31;51;44;1;31.0;53.0;32.0;0.0;2.0;-12.0
332;29;63;30;1;31.0;52.0;32.0;2.0;-11.0;2.0
333;33;63;24;1;31.0;52.0;32.0;-2.0;-11.0;8.0
334;32;49;29;1;31.0;52.0;32.0;-1.0;3.0;3.0
335;27;31;37;1;31.0;52.0;32.0;4.0;21.0;-5.0
336;27;56;42;1;31.0;53.0;32.0;4.0;-3.0;-10.0
337;29;61;31;1;31.0;53.0;32.0;2.0;-8.0;1.0
338;38;63;20;1;31.0;52.0;32.0;-7.0;-11.0;12.0
339;36;46;23;1;31.0;52.0;32.0;-5.0;6.0;9.0
340;31;27;34;1;31.0;52.0;32.0;0.0;25.0;-2.0
341;26;49;44;1;31.0;52.0;32.0;5.0;3.0;-12.0
342;30;56;41;1;31.0;52.0;32.0;1.0;-4.0;-9.0
343;33;63;23;1;31.0;52.0;32.0;-2.0;-11.0;9.0
344;38;59;25;1;31.0;52.0;32.0;-7.0;-7.0;7.0
345;32;40;33;1;31.0;52.0;32.0;-1.0;12.0;-1.0
346;30;27;41;1;31.0;53.0;32.0;1.0;26.0;-9.0
347;30;51;42;1;31.0;53.0;32.0;1.0;2.0;-10.0
348;30;63;28;1;31.0;53.0;32.0;1.0;-10.0;4.0
349;35;63;25;1;31.0;53.0;32.0;-4.0;-10.0;7.0
350;37;50;24;1;31.0;53.0;32.0;-6.0;3.0;8.0
351;31;33;35;1;31.0;52.0;32.0;0.0;19.0;-3.0
352;28;36;40;1;31.0;52.0;32.0;3.0;16.0;-8.0
353;32;49;41;1;31.0;52.0;32.0;-1.0;3.0;-9.0
354;31;63;28;1;31.0;52.0;32.0;0.0;-11.0;4.0
355;37;63;28;1;31.0;52.0;32.0;-6.0;-11.0;4.0
356;32;48;32;1;31.0;52.0;32.0;-1.0;4.0;0.0
357;29;29;39;1;31.0;52.0;32.0;2.0;23.0;-7.0
358;27;54;41;1;31.0;51.0;32.0;4.0;-3.0;-9.0
359;28;62;32;1;31.0;51.0;32.0;3.0;-11.0;0.0
360;34;63;25;1;31.0;52.0;32.0;-3.0;-11.0;7.0
361;36;55;29;1;31.0;52.0;32.0;-5.0;-3.0;3.0
362;27;34;36;1;31.0;52.0;32.0;4.0;18.0;-4.0
363;29;43;38;1;31.0;51.0;32.0;2.0;8.0;-6.0
364;30;52;40;1;31.0;51.0;32.0;1.0;-1.0;-8.0
365;31;63;31;1;31.0;52.0;32.0;0.0;-11.0;1.0
366;34;62;26;1;31.0;53.0;32.0;-3.0;-9.0;6.0
367;28;44;29;1;30.0;53.0;32.0;2.0;9.0;3.0
368;31;32;38;1;30.0;52.0;32.0;-1.0;20.0;-6.0
369;30;50;39;1;30.0;51.0;32.0;0.0;1.0;-7.0
370;31;58;32;1;30.0;52.0;33.0;-1.0;-6.0;1.0
371;31;63;25;1;30.0;53.0;32.0;-1.0;-10.0;7.0
372;31;59;29;1;30.0;53.0;32.0;-1.0;-6.0;3.0
373;28;47;32;1;31.0;52.0;32.0;3.0;5.0;0.0
374;30;20;38;1;31.0;51.0;32.0;1.0;31.0;-6.0
375;27;51;44;1;30.0;51.0;33.0;3.0;0.0;-11.0
376;26;61;33;1;30.0;52.0;33.0;4.0;-9.0;0.0
377;28;63;26;1;30.0;53.0;32.0;2.0;-10.0;6.0
378;34;60;24;1;31.0;53.0;32.0;-3.0;-7.0;8.0
379;29;42;34;1;31.0;52.0;32.0;2.0;10.0;-2.0
380;30;19;40;1;30.0;51.0;33.0;0.0;32.0;-7.0
381;27;56;43;1;30.0;51.0;33.0;3.0;-5.0;-10.0
382;25;63;29;1;30.0;52.0;32.0;5.0;-11.0;3.0
383;32;63;22;1;31.0;53.0;32.0;-1.0;-10.0;10.0
384;33;58;23;1;31.0;52.0;32.0;-2.0;-6.0;9.0
385;34;42;30;1;31.0;51.0;32.0;-3.0;9.0;2.0
386;31;20;41;1;31.0;51.0;33.0;0.0;31.0;-8.0
387;27;53;45;1;30.0;52.0;32.0;3.0;-1.0;-13.0
388;28;63;29;1;31.0;53.0;32.0;3.0;-10.0;3.0
389;34;63;21;1;31.0;53.0;32.0;-3.0;-10.0;11.0
390;34;47;24;1;31.0;52.0;32.0;-3.0;5.0;8.0
391;33;39;33;1;30.0;51.0;32.0;-3.0;12.0;-1.0
392;30;31;41;1;30.0;52.0;33.0;0.0;21.0;-8.0
